01|BIENES Y VALORES ENTREGADOS|2||
012|VALORES Y BIENES ENTREGADOS EN GARANTIA|3||
0122|CUENTAS POR COBRAR|4||
012201|LETRAS EN DESCUENTO BCP SOLES|||
012202|LETRAS EN DESCUENTO BCP DOLARES|||
012203|NOTAS DE CREDITOS PROVEEDOR POR MUESTRA|||
012204|CAMBIO SOPORTE|||
012205|LETRAS EN DESCUENTO BCO INTERB SOLES|||
012206|LETRAS EN DESCUENTO BCO INTERB DOLARES|||
014|ACTIVOS REALIZABLES EN TRANSFORMACION|3||
0141|ACTIVOS REALIZABLES EN TRANSFORMACION|4||
014101|ACTIVOS REALIZABLES EN TRANSFORMACION|||
02|DERECHOS SOBRE INSTRUMENTOS FINANCIEROS|2||
03|OTRAS CUENTAS DE ORDEN DEUDORAS|2||
032|BIENES DADOS DE BAJA|3||
0321|BIENES DADOS DE BAJA|4||
032101|BIENES DADOS DE BAJA-MERCADERIA|||
04|CONTRAPARTIDA DE CUENTAS DE ORDEN DEUDOR|2||
06|BIENES Y VALORES RECIBIDOS|2||
07|COMPROMISOS SOBRE INSTRUMENTOS FINANCIER|2||
08|OTRAS CUENTAS DE ORDEN ACREEDORA|2||
082|BIENES DADOS DE BAJA|3||
0821|BIENES DADOS DE BAJA|4||
082101|BIENES DADOS DE BAJA-MERCADERIA|||
09|CONTRAPARTIDA DE CUENTAS DE ORDEN ACREED|2||
093|RESPONSABILIDAD DE LETRAS EN DESCUENTO|3||
0932|LETRAS EN DESCUENTO|4||
093201|LETRAS EN DESCUENTO BCP SOLES|||
093202|LETRAS EN DESCUENTO BCP DOLARES|||
093203|LETRAS EN DESCUENTO BCO INTERB SOLES|||
093204|LETRAS EN DESCUENTO BCO INTERB DOLARES|||
10|EFECTIVO Y EQUIVALENTES DE EFECTIVO|2||
101|CAJA|3||
1011|CAJA COBRANZAS SOLES|4||
10110|CAJA COBRANZAS SOLES|5||
101101|CAJA COBRANZA LIMA SOLES|||
101102|CAJA COBRANZA COMPUPLAZA SOLES|||
101103|CAJA COBRANZAS CHICLAYO SOLES|||
101104|CAJA COBRANZAS HUANCAYO SOLES|||
101105|CAJA COBRANZAS TRUJILLO SOLES|||
101106|CAJA COBRANZAS AREQUIPA SOLES|||
101107|CAJA VUELTOS LIMA SOLES|||
101108|CAJA VUELTO COMPUPLAZA SOLES|||
101109|CAJA VUELTO AREQUIPA SOLES|||
101110|CAJA VUELTO  LIMA-ALMACEN SOLES|||
1012|CAJA COBRANZAS DOLARES|4||
10120|CAJA COBRANZAS DOLARES|5||
101201|CAJA COBRANZAS LIMA DOLARES|||
101202|CAJA COBRANZAS COMPUPLAZA DOLARES|||
101203|CAJA COBRANZAS CHICLAYO DOLARES|||
101204|CAJA COBRANZAS HUANCAYO DOLARES|||
101205|CAJA COBRANZAS TRUJILLO DOLARES|||
101206|CAJA COBRANZAS AREQUIPA DOLARES|||
101207|CAJA VUELTO LIMA DOLARES|||
101208|CAJA VUELTO COMPUPLAZA DOLARES|||
101209|CAJA VUELTO AREQUIPA DOLARES|||
101210|CAJA VUELTO  LIMA-ALMACEN DOLARES|||
1013|CAJA CHICA EN SOLES|4||
10130|CAJA CHICA EN SOLES|5||
101301|CAJA CHICA LIMA SOLES|||
101302|CAJA CHICA CHICLAYO SOLES|||
101303|CAJA CHICA HUANCAYO SOLES|||
101304|CAJA CHICA COMPUPLAZA SOLES|||
101305|CAJA CHICA TRUJILLO SOLES|||
101306|CAJA CHICA AREQUIPA SOLES|||
101307|CAJA CHICA LIMA-COMERCIAL SOLES|||
101308|CAJA CHICA LIMA-ABASTECIMIIENTO SOLES|||
101309|CAJA CHICA LIMA-COMERCIAL MK SOLES|||
102|FONDOS FIJOS|3||
1021|FONDOS FIJOS EN SOLES|4||
10210|FONDOS FIJOS EN SOLES|5||
102101|FONDO FIJO LIMA SOLES|||
1022|FONDO  FIJO EN DOLARES|4||
10220|FONDO  FIJO EN DOLARES|5||
102201|FONDO FIJO  LIMA DOLARES|||
103|EFECTIVO Y CHEQUES EN TRÁNSITO|3||
1031|EFECTIVO EN TRÁNSITO|4||
10310|EFECTIVO EN TRÁNSITO|5||
103101|EFECTIVO EN TRANSITO SOLES|||
103102|EFECTIVO EN TRANSITO DOLARES|||
103103|CHEQUES EN TRANSITO SOLES|||
103104|CHEQUES EN TRANSITO DOLARES|||
103105|TRANSFERENCIA EN TRANSITO SOLES|||
103106|TRANSFERENCIA EN TRANSITO DOLARES|||
104|CTAS.CTE. EN INSTITUC. FINANCI|3||
1041|CUENTAS CORRIENTES OPERATIVAS|4||
10411|CTAS CORRIENTES OPERATIVAS-SOLES|5||
104111|BANCO CREDITO 471743089 - SOLES|||
104112|BANCO CONTINENTAL000152671- SOLES|||
104113|BANCO INTERAMEFIN700094567- SOLES|||
104114|BANCO CONTINENTAL 00039809- SOLES|||
104115|BANCODENACION005030897(DET)- SOLES|||
104116|BANCO SCOTIABANK 8657092- SOLES|||
104117|BANCO INTERBANK 3000936723- SOLES|||
104118|BANCO SANTANDER 8086265-SOLES|||
104119|BANCO SCOTIABANK 4128052-000-01- SOLES|||
10412|CTAS.CORRIENTES OPERATIVAS DOLARES|5||
104121|BANCO CREDITO 845019154- DOLARES|||
104122|BANCO CREDITOMIAMI090300004- DOLARES|||
104123|BANCO CONTINENTAL 000101174- DOLARES|||
104124|BANCOINTERAMERFINA000074205- DOLARES|||
104125|BANCO CONTINENTAL 00039825- DOLARES|||
104126|BANCO SCOTIABANK 340000058- DOLARES|||
104127|BANCO INTERBANK 3000936714- DOLARES|||
104128|BANCO INTERBANK 3000936730- DOLARES|||
104129|BANCO SANTANDER 8086273-DOLARES|||
10413|CTAS.CORRIENTES OPERATIVAS DOLARES|5||
104130|BANCO SCOTIABANK4748566-000-07_DOLARES|||
104131|CAJA AREQUIPA 0027153430211_DOLARES|||
106|DEPÓSITOS EN INSTITUCIONES FINANCIERAS|3||
1061|DEPÓSITOS DE AHORRO|4||
1062|DEPÓSITOS A PLAZO|4||
1063|OPERACIONES OVERNIGTH|4||
10631|OPERACIONES OVERNIGTH SOLES|5||
106311|OP.OVERNIGTH BCP_SOLES|||
106312|OP.OVERNIGTH BBVA_SOLES|||
106313|OP.OVERNIGTH INTERBANK_SOLES|||
106314|OP.OVERNIGTH SCOTIABANK_SOLES|||
10632|OPERACIONES OVERNIGTH DOLARES|5||
106321|OP.OVERNIGTH BCP_DOLARES|||
106322|OP.OVERNIGTH BBVA_DOLARES|||
106323|OP.OVERNIGTH INTERBANK_DOLARES|||
106324|OP.OVERNIGTH SCOTIABANK_DOLARES|||
107|FONDOS SUJETOS A RESTRICCION|3||
1071|FONDOS EN GARANTÍA|4||
10711|FONDOS EN GARANTÍA|5||
107111|FONDOS EN GARANTÍA DOLARES|||
1072|FONDOS RETENIDOS MANDATO AUTORIDAD|4||
1073|OTROS FONDOS SUJETOS A RESTRICCIÓN|4||
10731|OTROS FONDOS SUJETOS A RESTRICCIÓN|5||
107311|OTROS FONDOS SUJETOS RESTRICCIÓN|||
12|FACTURAS.BOL.Y OTR.COMP X COBR|2||
121|FACTURAS.BOL.Y OTR.COMP X COBR|3||
1211|NO EMITIDAS|4||
12110|NO EMITIDAS|5||
121101|FACT.POR COB. NO EMITIDAS SOLES|||
121102|FACT.POR COB.NO EMITIDAS DOLARES|||
1212|EMITIDAS EN CARTERA|4||
12120|EMITIDAS EN CARTERA|5||
121201|F.X COB.EMITIDAS EN CARTERA SOLES|||
121202|F.X COB.EMITIDAS EN CARTERA DOLARES|||
121203|CHEQUES DIFERIDOS EN SOLES|||
121204|CHEQUES DIFERIDOS EN DOLARES|||
121205|FACTURAS FACTORING-TELEBANKI DOLARES|||
122|ANTICIPOS DE CLIENTES|3||
1221|ANTICIPOS DE CLIENTES|4||
12210|ANTICIPOS DE CLIENTES|5||
122101|ANTICIPOS DE CLIENTES SOLES|||
122102|ANTICIPOS DE CLIENTES(NI) SOLES|||
122103|ANTICIPOS DE CLIENTES DOLARES|||
122104|ANTICIPOS DE CLIENTES (NI) DOLARES|||
123|LETRAS POR COBRAR|3||
1232|LETRAS POR COBRAR EN CARTERA|4||
12320|LETRAS POR COBRAR EN CARTERA|5||
123201|LET.POR COB.EN CARTERA SOLES|||
123202|LET.POR COB.EN CARTERA DOLARES|||
123203|LET.POR COB.RETENCION|||
1233|LETRAS POR COBRAR EN COBRANZA|4||
12330|LETRAS POR COBRAR EN COBRANZA|5||
123301|LET.POR COB.EN COBRANZA SOLES|||
123302|LET.POR COB EN COBRANZA DOLARES|||
1234|LETRA POR COBRAR EN DESCUENTO|4||
12340|LETRA POR COBRAR EN DESCUENTO|5||
123401|LET.POR COB. EN DESCUENTO SOLES|||
123402|LET.POR COB.EN DESCUENTO DOLARES|||
1235|LETRA POR COBRAR PROTESTADO|4||
12350|LETRA POR COBRAR PROTESTADO|5||
123501|LET.PROTESTADO SOLES|||
123502|LET.PROTESTADO DOLARES|||
124|FACTURA ENDOSADA POR COBRAR|3||
1241|FACTURA ENDOSADA POR COBRAR|4||
12410|FACTURA ENDOSADA POR COBRAR|5||
